iter	Passed	Remaining
233	12901	42233
234	12953	42168
235	13004	42098
236	13058	42040
237	13116	41994
238	13171	41938
239	13229	41894
240	13285	41839
241	13346	41802
242	13406	41765
243	13464	41716
244	13519	41662
245	13576	41611
246	13627	41545
247	13686	41500
248	13743	41450
249	13796	41389
250	13854	41342
251	13909	41286
252	13962	41223
253	14026	41194
254	14076	41126
255	14134	41078
256	14197	41045
257	14256	41001
258	14322	40976
259	14380	40929
260	14442	40893
261	14499	40843
262	14555	40789
263	14615	40746
264	14680	40716
265	14742	40681
266	14801	40634
267	14856	40578
268	14913	40527
269	14968	40471
270	15023	40413
271	15078	40357
272	15135	40304
273	15192	40253
274	15246	40195
275	15306	40151
276	15363	40101
277	15416	40037
278	15498	40050
279	15557	40005
280	15620	39967
281	15673	39907
282	15732	39859
283	15789	39807
284	15871	39817
285	15930	39771
286	15991	39728
287	16046	39670
288	16097	39603
289	16148	39534
290	16210	39494
291	16267	39442
292	16324	39391
293	16373	39319
294	16435	39279
295	16491	39223
296	16551	39176
297	16624	39161
298	16702	39157
299	16775	39142
300	16848	39127
301	16922	39113
302	16991	39086
303	17063	39065
304	17140	39057
305	17218	39050
306	17317	39091
307	17385	39060
308	17447	39016
309	17514	38983
310	17588	38966
311	17662	38947
312	17737	38932
313	17804	38897
314	17878	38878
315	17945	38843
316	18015	38815
317	18081	38778
318	18160	38768
319	18224	38727
320	18316	38744
321	18382	38705
322	18450	38671
323	18512	38625
324	18572	38574
325	18638	38534
326	18720	38529
327	18804	38526
328	18902	38552
329	18993	38563
330	19059	38522
331	19121	38473
332	19197	38453
333	19267	38419
334	19328	38368
335	19390	38318
336	19461	38286
337	19519	38230
338	19578	38175
339	19635	38115
340	19698	38068
341	19765	38029
342	19821	37968
343	19875	37901
344	19936	37850
345	20013	37828
346	20074	37777
347	20143	37739
348	20204	37687
349	20267	37640
350	20331	37592
351	20397	37550
352	20467	37514
353	20529	37463
354	20593	37416
355	20651	37358
356	20716	37312
357	20777	37259
358	20845	37219
359	20905	37165
360	20964	37108
361	21023	37053
362	21118	37058
363	21182	37011
364	21263	36992
365	21329	36947
366	21386	36887
367	21457	36851
368	21525	36809
369	21599	36777
370	21669	36738
371	21730	36685
372	21788	36625
373	21859	36587
374	21921	36535
375	21985	36485
376	22052	36442
377	22118	36396
378	22177	36338
379	22243	36291
380	22301	36232
381	22358	36171
382	22415	36111
383	22478	36059
384	22555	36030
385	22637	36009
386	22710	35972
387	22784	35938
388	22853	35895
389	22922	35852
390	22989	35807
391	23071	35784
392	23142	35744
393	23204	35690
394	23278	35654
395	23344	35606
396	23410	35557
397	23474	35506
398	23539	35457
399	23600	35401
400	23662	35346
401	23732	35304
402	23790	35243
403	23856	35193
404	23925	35149
405	23985	35091
406	24046	35035
407	24109	34982
408	24164	34916
409	24211	34841
410	24269	34780
411	24324	34715
412	24380	34652
413	24437	34590
414	24493	34526
415	24551	34465
416	24606	34401
417	24660	34335
418	24714	34270
419	24769	34205
420	24821	34137
421	24877	34074
422	24939	34019
423	25006	33971
424	25066	33913
425	25119	33846
426	25174	33782
427	25233	33723
428	25285	33654
429	25342	33593
430	25397	33529
431	25457	33472
432	25512	33408
433	25568	33345
434	25626	33284
435	25681	33221
436	25732	33152
437	25787	33088
438	25842	33023
439	25898	32961
440	25948	32891
441	26003	32827
442	26063	32770
443	26121	32710
444	26177	32648
445	26229	32580
446	26285	32518
447	26339	32454
448	26393	32388
449	26448	32326
450	26504	32263
451	26569	32212
452	26627	32153
453	26690	32098
454	26747	32037
455	26804	31976
456	26854	31908
457	26908	31843
458	26964	31782
459	27021	31720
460	27077	31659
461	27137	31601
462	27189	31534
463	27246	31473
464	27303	31413
465	27358	31350
466	27415	31290
467	27469	31226
468	27524	31162
469	27574	31094
470	27625	31026
471	27680	30964
472	27736	30903
473	27791	30839
474	27860	30792
475	27920	30736
476	27972	30669
477	28026	30606
478	28086	30549
479	28143	30488
480	28199	30427
481	28254	30364
482	28312	30305
483	28367	30242
484	28424	30182
485	28493	30135
486	28577	30102
487	28657	30067
488	28726	30019
489	28790	29965
490	28858	29916
491	28922	29862
492	28981	29804
493	29050	29755
494	29109	29697
495	29164	29635
496	29220	29573
497	29271	29506
498	29326	29443
499	29382	29382
500	29444	29327
501	29513	29278
502	29576	29223
503	29647	29177
504	29726	29137
505	29789	29082
506	29851	29027
507	29919	28976
508	29980	28920
509	30036	28858
510	30095	28799
511	30157	28743
512	30245	28712
513	30319	28668
514	30407	28635
515	30462	28573
516	30518	28511
517	30573	28448
518	30628	28385
519	30692	28331
520	30749	28270
521	30803	28206
522	30854	28140
523	30911	28079
524	30971	28021
525	31031	27963
526	31082	27897
527	31139	27837
528	31202	27780
529	31281	27740
530	31334	27676
531	31396	27619
532	31471	27574
533	31535	27519
534	31596	27462
535	31656	27403
536	31719	27348
537	31782	27292
538	31837	27230
539	31895	27169
540	31950	27107
541	32007	27046
542	32059	26982
543	32112	26917
544	32165	26853
545	32223	26793
546	32275	26729
547	32332	26668
548	32385	26604
549	32438	26540
550	32490	26476
551	32546	26414
552	32622	26369
553	32682	26311
554	32763	26269
555	32824	26212
556	32884	26154
557	32941	26093
558	32991	26027
559	33051	25968
560	33102	25904
561	33158	25842
562	33217	25783
563	33271	25720
564	33324	25656
565	33376	25592
566	33436	25534
567	33492	25473
568	33548	25411
569	33603	25349
570	33655	25285
571	33711	25224
572	33769	25164
573	33830	25107
574	33885	25045
575	33937	24982
576	33989	24918
577	34045	24856
578	34116	24806
579	34169	24743
580	34225	24682
581	34287	24625
582	34343	24564
583	34418	24516
584	34491	24468
585	34554	24412
586	34616	24355
587	34681	24300
588	34742	24243
589	34805	24186
590	34872	24133
591	34936	24077
592	34997	24019
593	35050	23956
594	35104	23894
595	35159	23833
596	35219	23774
597	35278	23715
598	35332	23653
599	35385	23590
600	35435	23525
601	35487	23462
602	35536	23396
603	35595	23337
604	35650	23276
605	35704	23213
606	35760	23152
607	35811	23088
608	35862	23024
609	35925	22968
610	35983	22909
611	36035	22846
612	36088	22783
613	36145	22723
614	36199	22661
615	36260	22604
616	36323	22547
617	36389	22493
618	36442	22430
619	36502	22372
620	36573	22321
621	36630	22260
622	36686	22200
623	36743	22140
624	36799	22079
625	36850	22016
626	36909	21957
627	36960	21893
628	37037	21845
629	37110	21795
630	37159	21730
631	37243	21685
632	37305	21628
633	37371	21574
634	37430	21515
635	37483	21452
636	37541	21393
637	37594	21330
638	37648	21269
639	37708	21211
640	37766	21151
641	37819	21089
642	37876	21029
643	37930	20967
644	37985	20906
645	38040	20845
646	38098	20786
647	38152	20724
648	38213	20667
649	38277	20611
650	38353	20561
651	38406	20499
652	38468	20441
653	38542	20390
654	38601	20331
655	38656	20271
656	38741	20225
657	38802	20167
658	38857	20107
659	38912	20045
660	38965	19983
661	39022	19924
662	39076	19862
663	39132	19802
664	39194	19744
665	39271	19694
666	39348	19644
667	39410	19587
668	39469	19528
669	39525	19467
670	39582	19407
671	39631	19343
672	39692	19286
673	39774	19238
674	39851	19187
675	39916	19131
676	39971	19070
677	40031	19011
678	40082	18949
679	40149	18893
680	40231	18845
681	40322	18801
682	40396	18749
683	40463	18693
684	40522	18634
685	40588	18578
686	40654	18522
687	40748	18479
688	40840	18434
689	40912	18380
690	40971	18321
691	41030	18262
692	41088	18202
693	41144	18141
694	41198	18079
695	41258	18020
696	41317	17961
697	41372	17900
698	41428	17839
699	41506	17788
700	41570	17731
701	41629	17671
702	41694	17614
703	41754	17556
704	41810	17495
705	41871	17436
706	41953	17386
707	42027	17333
708	42096	17277
709	42170	17224
710	42239	17168
711	42300	17110
712	42359	17050
713	42419	16991
714	42484	16934
715	42556	16880
716	42615	16820
717	42677	16761
718	42734	16701
719	42794	16642
720	42853	16582
721	42910	16522
722	42972	16463
723	43030	16404
724	43092	16345
725	43157	16288
726	43223	16231
727	43290	16174
728	43354	16116
729	43412	16056
730	43472	15997
731	43530	15937
732	43589	15877
733	43645	15817
734	43701	15756
735	43765	15698
736	43831	15641
737	43902	15585
738	43967	15528
739	44019	15466
740	44074	15405
741	44127	15343
742	44183	15282
743	44238	15221
744	44294	15161
745	44350	15100
746	44402	15038
747	44455	14977
748	44516	14918
749	44680	14893
750	44772	14844
751	44825	14782
752	44882	14722
753	44939	14662
754	44991	14599
755	45048	14539
756	45106	14479
757	45162	14418
758	45217	14357
759	45266	14294
760	45318	14232
761	45378	14173
762	45434	14112
763	45482	14049
764	45534	13987
765	45589	13926
766	45647	13866
767	45702	13805
768	45760	13745
769	45814	13684
770	45861	13621
771	45912	13559
772	45964	13498
773	46017	13436
774	46074	13376
775	46138	13318
776	46194	13257
777	46256	13199
778	46318	13140
779	46381	13081
780	46444	13023
781	46522	12969
782	46590	12912
783	46653	12853
784	46711	12793
785	46772	12734
786	46831	12674
787	46886	12614
788	46942	12553
789	47001	12493
790	47054	12432
791	47107	12371
792	47159	12310
793	47209	12248
794	47263	12187
795	47320	12127
796	47373	12066
797	47428	12005
798	47479	11944
799	47535	11883
800	47591	11823
801	47645	11762
802	47698	11701
803	47753	11641
804	47806	11580
805	47860	11519
806	47916	11459
807	47976	11400
808	48038	11341
809	48093	11281
810	48145	11220
811	48201	11159
812	48256	11099
813	48315	11040
814	48373	10980
815	48429	10920
816	48488	10860
817	48549	10801
818	48604	10741
819	48660	10681
820	48713	10620
821	48762	10559
822	48817	10499
823	48875	10439
824	48933	10379
825	48991	10320
826	49046	10260
827	49094	10198
828	49147	10137
829	49203	10077
830	49261	10018
831	49315	9957
832	49366	9897
833	49420	9836
834	49476	9776
835	49530	9716
836	49584	9656
837	49641	9596
838	49698	9536
839	49749	9476
840	49802	9415
841	49857	9355
842	49908	9294
843	49967	9235
844	50022	9175
845	50074	9115
846	50129	9055
847	50186	8995
848	50237	8935
849	50297	8876
850	50371	8819
851	50455	8764
852	50526	8707
853	50601	8650
854	50658	8591
855	50712	8531
856	50771	8471
857	50827	8412
858	50881	8351
859	50946	8293
860	51004	8234
861	51061	8174
862	51116	8114
863	51170	8054
864	51221	7994
865	51277	7934
866	51329	7874
867	51380	7813
868	51431	7753
869	51495	7694
870	51560	7636
871	51622	7577
872	51675	7517
873	51725	7457
874	51778	7396
875	51831	7336
876	51885	7276
877	51940	7217
878	51997	7157
879	52057	7098
880	52114	7039
881	52175	6980
882	52237	6921
883	52300	6863
884	52367	6804
885	52431	6746
886	52493	6687
887	52559	6629
888	52621	6570
889	52681	6511
890	52744	6452
891	52812	6394
892	52878	6336
893	52963	6279
894	53029	6221
895	53088	6162
896	53143	6102
897	53201	6042
898	53266	5984
899	53337	5926
900	53397	5867
901	53470	5809
902	53538	5751
903	53604	5692
904	53664	5633
905	53729	5574
906	53786	5515
907	53841	5455
908	53895	5395
909	53948	5335
910	54006	5276
911	54069	5217
912	54132	5158
913	54189	5098
914	54247	5039
915	54311	4980
916	54366	4920
917	54417	4860
918	54468	4800
919	54522	4741
920	54576	4681
921	54632	4621
922	54685	4562
923	54741	4502
924	54799	4443
925	54849	4383
926	54900	4323
927	54951	4263
928	55010	4204
929	55064	4144
930	55122	4085
931	55177	4025
932	55232	3966
933	55290	3907
934	55347	3847
935	55402	3788
936	55453	3728
937	55509	3669
938	55562	3609
939	55613	3549
940	55679	3491
941	55731	3431
942	55788	3372
943	55841	3312
944	55896	3253
945	55953	3193
946	56009	3134
947	56065	3075
948	56119	3015
949	56177	2956
950	56233	2897
951	56292	2838
952	56353	2779
953	56408	2719
954	56466	2660
955	56538	2602
956	56595	2542
957	56650	2483
958	56705	2424
959	56761	2365
960	56824	2306
961	56877	2246
962	56947	2188
963	57005	2128
964	57064	2069
965	57114	2010
966	57166	1950
967	57219	1891
968	57271	1832
969	57326	1772
970	57389	1714
971	57441	1654
972	57487	1595
973	57541	1536
974	57591	1476
975	57645	1417
976	57683	1357
977	57728	1298
978	57782	1239
979	57827	1180
980	57870	1120
981	57914	1061
982	57961	1002
983	58014	943
984	58058	884
985	58135	825
986	58179	766
987	58209	706
988	58247	647
989	58290	588
990	58331	529
991	58364	470
992	58393	411
993	58423	352
994	58451	293
995	58482	234
996	58521	176
997	58552	117
998	58603	58
999	58637	0
