iter	Logloss
0	0.6760476565
1	0.6608612256
2	0.6480377347
3	0.636284785
4	0.6262018832
5	0.6165244745
6	0.608284083
7	0.6011872191
8	0.5944629508
9	0.5885359485
10	0.5831209223
11	0.5786343773
12	0.5745442843
13	0.5703490911
14	0.5669137027
15	0.5635900526
16	0.5607426519
17	0.5581404637
18	0.5558249021
19	0.5536535672
20	0.5515139715
21	0.5495369614
22	0.5476959033
23	0.5458482068
24	0.5443492382
25	0.5429874144
26	0.5418102979
27	0.5406141252
28	0.5394714275
29	0.5384455275
30	0.5373430166
31	0.5364942464
32	0.5355014686
33	0.5348022553
34	0.5341400481
35	0.5335032472
36	0.53294614
37	0.5323914416
38	0.5319016333
39	0.5314174894
40	0.5309001254
41	0.5303785779442	0.5299498912443	0.5295717867444	0.5291679763445	0.5287824498446	0.5283647462447	0.5279742699448	0.527651248
49	0.5273264168
50	0.527018112
51	0.5267693269
52	0.5265108206553	0.5262623179554	0.5260503948555	0.5258596484556	0.5255698236557	0.5253032615558	0.5250922661559	0.559	0.5272660	0.560	0.527061	0.561	0.5268762	0.562	0.5265863	0.63	0.52648264	0.64	0.52627865	0.65	0.52604766	0.66	0.52589667	067	0.525683668	068	0.525543669	069	0.525447070	070	0.525327171	71	0.5251907272	72	0.525066773	073	0.524909774	074	0.52472475	0.75	0.52454676	0.76	0.52435977	0.77	0.52420978	0.78	0.52409579	0.79	0.52397180	0.80	0.52386981	0.81	0.52378182	0.82	0.52364483	083	0.523538484	084	0.523381185	085	0.523297586	86	0.5231825387	87	0.5231111988	88	0.5230304389	89	0.522974239090	0.5229035639191	0.5228319199292	0.5227750859393	0.5226716279494	0.5225927469595	0.5225247219696	0.522429083997	0.5222950731998	0.5222482941999	0.52216801831100	0.52210910371101	0.52202785411102	0.52185962141103	0.52177927071104	0.5217027635
105	0.521594644
106	0.5215438889
107	0.5214817128
108	0.5214501464
109	0.5213483136
110	0.5212986649
111	0.5212212761
112	0.5211400323
113	0.5210890871
114	0.5209888908
115	0.5209361823
116	0.5208585745
117	0.5208018842
118	0.5207055775
119	0.5206593055
120	0.5205800324
121	0.5204985408
122	0.520446956
123	0.5203971344
124	0.520316997
125	0.520244293
126	0.5201861275
127	0.5201122941
128	0.5200785553
129	0.5200508901
130	0.5200253916
131	0.5199828018
132	0.5199454731
133	0.5198717607
134	0.5198060811
135	0.519743784
136	0.5196999726
137	0.5196667697
138	0.5195714541
139	0.5195610358
140	0.5194817454
141	0.519461773
142	0.5194148095
143	0.5193249682
144	0.519275308
145	0.519242958
146	0.5192165317
147	0.5191721556
148	0.5190824641
149	0.5190347631
150	0.5189819855
151	0.5189438673
152	0.518885771
153	0.5188154584
154	0.5187656599
155	0.5187464135
156	0.5187156078
157	0.5186911522
158	0.5186348134
159	0.5186012994
160	0.5185195715
161	0.5184580927
162	0.5184176465
163	0.5183632439
164	0.5183410472
165	0.5183117512
166	0.5183057814
167	0.5182264161
168	0.5181804899
169	0.5181112837
170	0.5180520291
171	0.5180238222
172	0.5179376343
173	0.5179124239
174	0.5178854213
175	0.5178487841
176	0.5178251065
177	0.5177676555
178	0.5177618528
179	0.5177042693
180	0.5176583143
181	0.5176053407
182	0.5175788914
183	0.5175231058
184	0.5174208408
185	0.5173873728
186	0.5173130208
187	0.517255397
188	0.5171877812
189	0.5171239974
190	0.5170825831
191	0.5170254088
192	0.5169705336
193	0.5169516561
194	0.5168995353
195	0.5168647247
196	0.5168432368
197	0.5167901883
198	0.5167576712
199	0.5167008484
200	0.5166397498
201	0.516617484
202	0.5165552733
203	0.5165089783
204	0.5164638992
205	0.5164264783
206	0.5163737409
207	0.5163554454
208	0.516289057
209	0.5162579171
210	0.5162077152
211	0.516183784
212	0.516111322
213	0.5160514048
214	0.5160085845
215	0.5159772141
216	0.5159171586
217	0.5158709327
218	0.5158329413
219	0.5157676939
220	0.5157094304
221	0.5156271839
222	0.5155632388
223	0.5154847551
224	0.5154284855
225	0.5153773789
226	0.5153134798
227	0.5152854286
228	0.5152437377
229	0.5151878714
230	0.5151145336
231	0.5150652422
232	0.5150014468
233	0.5149445087
234	0.5149043334
235	0.5148726633
236	0.5148022874
237	0.5147458621
238	0.5146887338
239	0.5146257568
240	0.5145334261
241	0.5144583192
242	0.514414963
243	0.5143702124
244	0.5142917287
245	0.5142189095
246	0.5141691801
247	0.5141165754
248	0.5140595681
249	0.514010294
250	0.5139845015
251	0.5139517136
252	0.5139096079
253	0.5138584321
254	0.5137871803
255	0.5137357337
256	0.5136887069
257	0.5136418299
258	0.5135814459
259	0.5135383779
260	0.5134768414
261	0.5134188315
262	0.5133676788
263	0.5133066091
264	0.513233715
265	0.5131916035
266	0.5131362788
267	0.5130857831
268	0.5130443343
269	0.5129822042
270	0.5129352812
271	0.5129027122
272	0.5128528272
273	0.5128069241
274	0.5127457679
275	0.5127009539
276	0.5126421257
277	0.5125941078
278	0.5125425287
279	0.5124992417
280	0.5124398546
281	0.5123944931
282	0.5123342819
283	0.5122735176
284	0.5122134448
285	0.512177355
286	0.5121240818
287	0.5120736667
288	0.5120317453
289	0.5119924516
290	0.5119450618
291	0.5118895009
292	0.5118146764
293	0.5117836632
294	0.5117163701
295	0.5116758952
296	0.5116490425
297	0.5116224836
298	0.511562503
299	0.5115198787
300	0.5114541068
301	0.51140742
302	0.5113593617
303	0.5113047516
304	0.5112372107
305	0.5111808258
306	0.5111242104
307	0.5110711965
308	0.5110238643
309	0.510958686
310	0.5109175944
311	0.5108667299
312	0.5108144996
313	0.5107590828
314	0.5107092958
315	0.5106689822
316	0.5106206992
317	0.5105871448
318	0.5105452811
319	0.5105100384
320	0.5104758963
321	0.5104425263
322	0.5104014002
323	0.5103763511
324	0.5103429581
325	0.5103003972
326	0.5102466053
327	0.5101975501
328	0.5101531049
329	0.5101107687
330	0.5100718553
331	0.5100249092
332	0.5099893034
333	0.5099177692
334	0.5098740615
335	0.5098429274
336	0.5098041465
337	0.5097720558
338	0.5097125996
339	0.5096762332
340	0.5096440099
341	0.5095954791
342	0.5095511088
343	0.5095056551
344	0.509463025
345	0.5093908051
346	0.5093460141
347	0.5092990103
348	0.5092561382
349	0.5092030839
350	0.50917146
351	0.5091286167
352	0.5090752858
353	0.5090374212
354	0.5089983407
355	0.5089554225
356	0.5089044254
357	0.508852927
358	0.5088152756
359	0.508770208
360	0.5087485472
361	0.508687852
362	0.5086304587
363	0.5085776292
364	0.5085291387
365	0.5084954633
366	0.5084554205
367	0.5084175271
368	0.5083582668
369	0.5083282332
370	0.5082711511
371	0.5082439469
372	0.5082030512
373	0.5081521118
374	0.5081014374
375	0.5080589341
376	0.5079973342
377	0.5079251949
378	0.5078899118
379	0.5078215354
380	0.5077798331
381	0.5077439392
382	0.5076962612
383	0.5076537464
384	0.5076132483
385	0.5075757064
386	0.5075368852
387	0.5074941629
388	0.5074498156
389	0.5073872535
390	0.5073464154
391	0.5072711703
392	0.5072305973
393	0.5071816055
394	0.5071476882
395	0.5071073572
396	0.5070672626
397	0.5070423057
398	0.5069965985
399	0.5069734337
400	0.5069280377
401	0.5068910086
402	0.5068393949
403	0.5068048725
404	0.5067731736
405	0.5067452491
406	0.5067022502
407	0.5066636941
408	0.50661442
409	0.5065730576
410	0.5065372502
411	0.5064972823
412	0.5064485613
413	0.5063815736
414	0.506317542
415	0.5062766118
416	0.5062384418
417	0.5061938064
418	0.5061475518
419	0.5061013259
420	0.5060588744
421	0.5060116805
422	0.5059857729
423	0.5059395701
424	0.5058964963
425	0.5058624636
426	0.5058069949
427	0.5057633622
428	0.5057147104
429	0.5056779176
430	0.5056327751
431	0.5055896552
432	0.5055442937
433	0.5055073741
434	0.5054563943
435	0.5054116321
436	0.505378994
437	0.505327219
438	0.5052734675
439	0.5052483953
440	0.5052111127
441	0.5051686324
442	0.5051347612
443	0.5050957556
444	0.505055586
445	0.5050149843
446	0.5049761977
447	0.5049336252
448	0.5049104316
449	0.5048602931
450	0.5048377795
451	0.5048100797
452	0.5047707399
453	0.5047117562
454	0.5046805702
455	0.5046306276
456	0.5046041033
457	0.5045599808
458	0.5045131153
459	0.5044919731
460	0.5044480523
461	0.5044052435
462	0.5043473546
463	0.5043302115
464	0.5042800212
465	0.5042406641
466	0.5041900877
467	0.5041471234
468	0.5041232729
469	0.504081242
470	0.5040512027
471	0.5040076564
472	0.5039571895
473	0.5039157752
474	0.5038932789
475	0.5038575521
476	0.5038166507
477	0.5037693646
478	0.503726746
479	0.5037003831
480	0.5036740375
481	0.5036321335
482	0.503578382
483	0.5035492819
484	0.503488022
485	0.5034394855
486	0.5034218987
487	0.5033807322
488	0.5033497249
489	0.5033079361
490	0.5032559133
491	0.5032296483
492	0.5031938582
493	0.5031547258
494	0.5031180137
495	0.5030902275
496	0.503061721
497	0.5030236835
498	0.5029774116
499	0.5029440589
500	0.502906442
501	0.5028668084
502	0.5028279353
503	0.5027755899
504	0.5027455448
505	0.502713431
506	0.5026678391
507	0.5026284186
508	0.5025808156
509	0.5025333566
510	0.5025004937
511	0.5024678095
512	0.5024227477
513	0.5023723844
514	0.5023369688
515	0.5022960156
516	0.502254198
517	0.5022278639
518	0.5021933414
519	0.5021676124
520	0.5021444822
521	0.5021051309
522	0.502073311
523	0.502029661
524	0.5019876013
525	0.5019373418
526	0.5019050955
527	0.5018436052
528	0.5018128513
529	0.5017758511
530	0.5017381305
531	0.5017120096
532	0.5016845115
533	0.5016334626
534	0.5016025416
535	0.5015777519
536	0.5015266338
537	0.501469494
538	0.5014262415
539	0.5013954992
540	0.5013443293
541	0.5013207093
542	0.5012910388
543	0.501262054
544	0.5012230311
545	0.5011928996
546	0.5011618519
547	0.501107236
548	0.5010598174
549	0.5010188296
550	0.5009734796
551	0.5009525507
552	0.5009006777
553	0.5008652621
554	0.5008328487
555	0.5007902762
556	0.5007470871
557	0.5007257663
558	0.5007117061
559	0.5006761176
560	0.5006248094
561	0.5005889328
562	0.5005472996
563	0.5005175484
564	0.5004836137
565	0.500453972
566	0.5004255808
567	0.5003964462
568	0.5003710629
569	0.500328208
570	0.5003092383
571	0.5002852207
572	0.5002549681
573	0.5002080047
574	0.5001817628
575	0.5001501274
576	0.5001220761
577	0.5000761729
578	0.5000362454
579	0.499996531
580	0.4999368846
581	0.499892497
582	0.4998473372
583	0.499795591
584	0.4997403298
585	0.4997113565
586	0.4996484947
587	0.4996253414
